State,District,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Specialties,Facilities,Telephone,Mobile_Number,Emergency_Num,Website,Pincode,Languages,Cost_Category,Supports_Immigrants
Kerala,Alappuzha,Josco Hospital - Alappuzha,,,,Josco Hospital - Alappuzha,,,,,,688001,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,Mammen Memmorial Hospital,,,,Mammen Memmorial Hospital,,,,,,688001,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,Sahrudaya Hospital,,,,Sahrudaya Hospital,,,,,,688013,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,St Michaels Hospital Tsunami Project Only),,,,St Michaels Hospital Tsunami Project Only),,,,,,688522,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,S H General Hospital,,,,S H General Hospital,,,,,,688523,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,K V M Mutispeciality Hospital,,,,K V M Mutispeciality Hospital,,,,,,688524,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,Prathyasa Msgr Joseph Kandathil Memorial Cancer Research Center,,,,Prathyasa Msgr Joseph Kandathil Memorial Cancer Research Center,,,,,,688524,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,"Primary Health Centre, Vrvm",,,,"Primary Health Centre, Vrvm",,,,,,688524,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,Sacred Heart General Hospital,,,,Sacred Heart General Hospital,,,,,,688524,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,Sree Narayana Medical Mission General Hospital,,,,Sree Narayana Medical Mission General Hospital,,,,,,688524,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,Sree Venkateswara Hospital,,,,Sree Venkateswara Hospital,,,,,,688524,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,T.D. Medical College Hospital Alappuzha,,,,T.D. Medical College Hospital Alappuzha,,,,,,688524,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,Taluk Head Quartes Hospital,,,,Taluk Head Quartes Hospital,,,,,,688524,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,C K V Hospital,,,,C K V Hospital,,,,,,688526,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,St Sebastians Visitation Hospital (Tsunami Project Only),,,,St Sebastians Visitation Hospital (Tsunami Project Only),,,,,,688530,"Malayalam, English",Paid/Private,Yes
Kerala,Alappuzha,Primary Health Centre,,,,Primary Health Centre,,,,,,688532,"Malayalam, English",Paid/Private,Yes
